job_id,title,formatted_work_type,remote_allowed,normalized_salary,formatted_experience_level,location,listed_time,skills_combined,num_skills,listed_month,cluster_k8,cluster_k10,cluster_k12,cluster,cluster_label
921716,Marketing Coordinator,Full-time,,38480.0,,"Princeton, NJ",2024-04-17 23:45:08,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
1829192,Mental Health Therapist/Counselor,Full-time,,83200.0,,"Fort Collins, CO",2024-04-11 17:51:27,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
10998357,Assitant Restaurant Manager,Full-time,,55000.0,,"Cincinnati, OH",2024-04-16 14:26:54,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
23221523,Senior Elder Law / Trusts and Estates Associate Attorney,Full-time,,157500.0,,"New Hyde Park, NY",2024-04-12 04:23:32,Other,1,2024-04,3,4,4,4,Other / Unclassified
35982263, Service Technician,Full-time,,70000.0,,"Burlington, IA",2024-04-18 14:52:23,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
91700727,Economic Development and Planning Intern,Internship,,35360.0,,"Raleigh, NC",2024-04-18 16:01:39,Project Management,1,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
103254301,Producer,Contract,1.0,180000.0,,United States,2024-04-11 18:43:39,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
112576855,Building Engineer,Full-time,,105000.0,,"San Francisco, CA",2024-04-06 22:44:12,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
1218575,Respiratory Therapist,Full-time,,,,"Omaha, NE",2024-04-05 20:21:40,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
2264355,Worship Leader,Part-time,,4200.0,,"Palm Bay, FL",2024-04-07 02:12:35,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
11009123,Project Architect,Full-time,,,,"St Louis, MO",2024-04-11 17:58:42,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
56924323,Structural Engineer,Full-time,,,,"San Mateo, CA",2024-04-07 03:29:40,Engineering,1,2024-04,6,2,1,2,Engineering & IT
69333422,Senior Product Marketing Manager,Full-time,1.0,,,United States,2024-04-19 14:36:37,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
83789755,Osteogenic Loading Coach,Full-time,,,,"Anchorage, AK",2024-04-18 18:53:54,Other,1,2024-04,3,4,4,4,Other / Unclassified
95428182,Administrative Coordinator,Full-time,,52000.0,,"Cleveland, OH",2024-04-11 17:14:46,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
111513530,"Content Writer, Communications",Full-time,,,,Greater Philadelphia,2024-04-18 16:22:00,"Marketing, Public Relations, Writing/Editing",3,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
115639136,Controller,Full-time,,,,"Birmingham, AL",2024-04-15 19:37:30,"Accounting/Auditing, Management, Human Resources",3,2024-04,6,7,9,7,Accounting & Finance
117675818,Physician Assistant,Contract,,,,"Atlanta, GA",2024-04-09 12:51:47,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
121605673,Licensed Acupuncturist,Full-time,,,,"Maumee, OH",2024-04-18 20:10:29,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
133130219,Software Engineer,Full-time,,,,Los Angeles Metropolitan Area,2024-04-19 13:58:45,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
134286190,Sheet Metal Fabricator,Full-time,,,,"Mineral Wells, TX",2024-04-18 18:25:01,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
136743465,Personal Injury Attorney,Full-time,,,,"Stuart, FL",2024-04-18 19:02:49,Legal,1,2024-04,6,6,7,6,Administrative & Legal
175485704,Software Engineer,Part-time,,,,"Denver, CO",2024-04-16 15:17:25,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
196406165,Loan Coordinator,Contract,1.0,,,"New Jersey, United States",2024-04-19 13:54:29,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
228003844,Swim Instructor,Contract,,,,"Harlingen, TX",2024-04-17 21:34:46,Other,1,2024-04,3,4,4,4,Other / Unclassified
231010577,Service / Construction Technician,Full-time,,,,"West Bridgewater, MA",2024-04-07 02:30:25,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
243731357,Legal Secretary,Full-time,,,,"Phoenix, AZ",2024-04-06 21:39:48,Legal,1,2024-04,6,6,7,6,Administrative & Legal
258868844,Salesperson,Full-time,1.0,,,United States,2024-04-18 20:01:35,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
263583866,Registered Nurse,Full-time,,,,"Grayling, MI",2024-04-18 18:34:20,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
266566927,Marketing & Office Coordinator,Full-time,,65000.0,,"Denver, CO",2024-04-18 16:49:28,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
280496925,Coordinator for Multicultural Student Organizations,Full-time,,53268.0,,"Pullman, WA",2024-04-18 15:57:47,"Education, Training",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
345332937,Barber,Part-time,,,,"Grafton, WI",2024-04-17 23:36:58,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
358267047,Production Planner (Food Technologist),Full-time,,,,"Concord, NC",2024-04-05 21:03:00,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
368586246,Embryologist,Full-time,,,,"St Louis, MO",2024-04-18 14:07:30,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
606178500,Associate Attorney,Full-time,,120000.0,,"Kailua-Kona, HI",2024-04-06 21:57:28,Other,1,2024-04,3,4,4,4,Other / Unclassified
634823509,HVAC Technician,Full-time,,,,"Brooklyn, NY",2024-04-19 02:00:45,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
658723396,External Mortgage Loan Officer,Full-time,,,,"Orlando, FL",2024-04-19 01:23:14,"Finance, Production, Sales",3,2024-04,5,5,10,5,Finance & Sales
705356075,TREC licensed Professional Home Inspector,Full-time,,54080.0,,Dallas-Fort Worth Metroplex,2024-04-18 21:00:41,"Sales, Consulting",2,2024-04,6,5,9,5,Finance & Sales
805229245,"Manager, Retail Pharmacy",Full-time,,137500.0,,"Tucson, AZ",2024-04-15 19:12:39,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
844454682,Commercial Property Manager,Full-time,,,,"Houston, TX",2024-04-15 20:31:17,"Management, Project Management",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
857299959,SALES,Full-time,,65000.0,,"Hackensack, NJ",2024-04-19 13:48:09,"Information Technology, Customer Service, Sales",3,2024-04,6,8,8,8,"HR, Education & Quality Assurance"
935210241,Transactional Attorney,Full-time,,,,"New York, NY",2024-04-11 20:02:22,Legal,1,2024-04,6,6,7,6,Administrative & Legal
974774701,Blog writer and virtual assistant,Contract,1.0,,,"South Dakota, United States",2024-04-05 20:36:00,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
1014822088,Marketing Specialist,Full-time,1.0,75000.0,,United States,2024-04-18 19:37:42,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
1093227543,Sales Associate Natural Food Products,Full-time,,90000.0,,"Miami, FL",2024-04-17 21:27:36,"Sales, Marketing, Product Management",3,2024-04,6,8,3,8,"HR, Education & Quality Assurance"
1129235875,Industrial Sales Representative,Full-time,,,,"Lancaster, PA",2024-04-15 19:07:13,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
1143359956,National Sales Manager,Full-time,,80000.0,,"Los Angeles, CA",2024-04-15 20:42:13,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
